Timestamp,Torque,Temperature,RPM
1695654318,0.26,19.34,0.00
1695654318,0.26,19.30,0.00
1695654319,0.26,19.50,0.00
1695654320,0.27,19.44,0.00
1695654321,0.26,19.31,0.00
1695654322,0.27,18.56,0.00
1695654323,0.26,18.83,0.00
1695654324,0.27,18.94,0.00
1695654324,0.26,19.02,0.00
1695654325,0.27,18.97,0.00
1695654326,0.27,18.87,0.00
1695654327,0.26,19.23,0.00
1695654328,0.27,19.58,0.00
1695654329,0.27,19.24,0.00
1695654330,0.27,18.82,0.00
1695654330,0.27,18.80,0.00
1695654331,0.28,18.85,0.00
1695654332,0.27,19.22,0.00
1695654333,0.27,19.25,0.00
1695654334,0.27,19.28,0.00
1695654335,0.27,19.18,0.00
1695654336,0.27,19.67,0.00
1695654336,0.27,19.42,0.00
1695654337,0.28,18.99,0.00
1695654338,0.28,19.30,0.00
1695654339,0.28,19.31,0.00
1695654340,0.28,19.08,0.00
1695654341,0.28,18.76,0.00
1695654341,0.28,18.31,0.00
1695654342,0.28,18.03,0.00
1695654343,0.28,18.15,0.00
1695654344,0.28,18.11,0.00
1695654345,0.28,18.72,0.00
1695654346,0.28,18.72,0.00
1695654347,0.28,18.46,0.00
1695654347,0.28,18.47,0.00
1695654348,0.28,18.60,0.00
1695654349,0.28,18.46,0.00
1695654350,0.28,18.29,0.00
1695654351,0.28,17.84,0.00
1695654352,0.28,17.58,0.00
1695654353,0.28,17.83,0.00
1695654353,0.28,18.00,0.00
1695654354,0.28,18.22,0.00
1695654355,0.28,18.16,0.00
1695654356,0.29,18.07,0.00
1695654357,0.29,17.92,0.00
1695654358,0.29,17.39,0.00
1695654358,0.28,17.60,0.00
1695654359,0.28,17.91,0.00
1695654360,0.29,17.93,0.00
1695654361,0.29,17.86,0.00
1695654362,0.29,17.54,0.00
1695654363,0.29,17.40,0.00
1695654364,0.28,17.83,0.00
1695654364,0.29,17.62,0.00
1695654365,0.29,17.38,0.00
1695654366,0.29,17.32,0.00
1695654367,0.29,17.14,0.00
1695654368,0.29,17.11,0.00
1695654369,0.29,17.09,0.00
1695654370,0.29,17.07,0.00
1695654370,0.29,17.06,0.00
1695654371,0.29,16.98,0.00
1695654372,0.29,16.92,0.00
1695654373,0.29,16.89,0.00
1695654374,0.29,16.98,0.00
1695654375,0.29,16.91,0.00
1695654376,0.29,16.97,0.00
1695654376,0.29,16.91,0.00
1695654377,0.29,16.84,0.00
1695654378,0.29,16.73,0.00
1695654379,0.30,16.74,0.00
1695654380,0.29,16.63,0.00
1695654381,0.29,16.63,0.00
1695654381,0.29,16.65,0.00
1695654382,0.29,16.65,0.00
1695654383,0.29,16.64,0.00
1695654384,0.29,16.52,0.00
1695654385,0.29,16.50,0.00
1695654386,0.30,16.55,0.00
1695654387,0.29,16.41,0.00
1695654387,0.30,16.29,0.00
1695654388,0.29,16.35,0.00
1695654389,0.30,16.34,0.00
1695654390,0.29,16.27,0.00
1695654391,0.29,16.23,0.00
1695654392,0.30,16.36,0.00
1695654393,0.29,16.38,0.00
1695654393,0.29,16.37,0.00
1695654394,0.29,16.28,0.00
1695654395,0.29,16.21,0.00
1695654396,0.30,16.29,0.00
1695654397,0.29,16.15,0.00
1695654398,0.29,16.19,0.00
1695654398,0.30,16.17,0.00
1695654399,0.30,16.05,0.00
1695654400,0.30,16.09,0.00
1695654401,0.30,16.10,0.00
1695654402,0.30,16.15,0.00
1695654403,0.30,16.06,0.00
1695654404,0.30,16.14,0.00
1695654404,0.30,16.19,0.00
1695654405,0.30,16.30,0.00
1695654406,0.31,16.24,0.00
1695654407,0.35,16.26,0.00
1695654408,2.76,16.94,0.00
1695654409,1.38,16.78,0.00
1695654410,1.01,17.09,0.00
1695654410,3.60,17.32,0.00
